s	algo1_time	algo2_time	algo3_time
642	0.000000	0.005644	0.000001
643	0.000000	0.005821	0.000002
644	0.000000	0.005612	0.000001
645	0.000000	0.005775	0.000002
646	0.000000	0.005685	0.000001
647	0.000000	0.005754	0.000001
648	0.000000	0.005665	0.000001
649	0.000000	0.005732	0.000001
650	0.000000	0.005719	0.000001
651	0.000000	0.005745	0.000001
652	0.000000	0.005862	0.000002
653	0.000000	0.005859	0.000002
654	0.000000	0.005774	0.000002
655	0.000000	0.006752	0.000002
656	0.000000	0.006003	0.000002
657	0.000000	0.005900	0.000002
658	0.000000	0.006597	0.000002
659	0.000000	0.005796	0.000002
660	0.000000	0.009483	0.000003
661	0.000000	0.008664	0.000002
662	0.000000	0.006387	0.000002
663	0.000000	0.010031	0.000003
664	0.000000	0.010915	0.000002
665	0.000000	0.007848	0.000002
666	0.000000	0.006109	0.000002
667	0.000000	0.006229	0.000002
668	0.000000	0.006173	0.000002
669	0.000000	0.006341	0.000002
670	0.000000	0.006188	0.000002
671	0.000000	0.006400	0.000003
672	0.000000	0.006004	0.000001
673	0.000000	0.006188	0.000002
674	0.000000	0.006463	0.000002
675	0.000000	0.006095	0.000001
676	0.000000	0.006883	0.000003
677	0.000000	0.010015	0.000003
678	0.000000	0.009460	0.000003
679	0.000000	0.007227	0.000005
680	0.000000	0.005930	0.000001
681	0.000000	0.006335	0.000002
682	0.000000	0.006088	0.000002
683	0.000000	0.006444	0.000002
684	0.000000	0.006521	0.000002
685	0.000000	0.006091	0.000002
686	0.000000	0.006272	0.000002
687	0.000000	0.006200	0.000002
688	0.000000	0.006269	0.000002
689	0.000000	0.006256	0.000002
690	0.000000	0.006532	0.000002
691	0.000000	0.006267	0.000002
692	0.000000	0.006207	0.000002
693	0.000000	0.006430	0.000002
694	0.000000	0.006725	0.000002
695	0.000000	0.006065	0.000002
696	0.000000	0.006974	0.000002
697	0.000000	0.006514	0.000003
698	0.000000	0.006130	0.000002
699	0.000000	0.006365	0.000002
700	0.000000	0.006104	0.000002
701	0.000000	0.006274	0.000002
702	0.000000	0.006454	0.000002
703	0.000000	0.006506	0.000003
704	0.000000	0.006648	0.000003
705	0.000000	0.006371	0.000003
706	0.000000	0.006680	0.000002
707	0.000000	0.006477	0.000002
708	0.000000	0.006209	0.000001
709	0.000000	0.006770	0.000002
710	0.000000	0.006510	0.000003
711	0.000000	0.006670	0.000002
712	0.000000	0.006946	0.000002
713	0.000000	0.006199	0.000002
714	0.000000	0.006300	0.000002
715	0.000000	0.006680	0.000002
716	0.000000	0.006303	0.000003
717	0.000000	0.006583	0.000003
718	0.000000	0.006284	0.000002
719	0.000000	0.006881	0.000002
720	0.000000	0.006752	0.000002
721	0.000000	0.006658	0.000002
722	0.000000	0.006636	0.000002
723	0.000000	0.006749	0.000003
724	0.000000	0.006467	0.000003
725	0.000000	0.006792	0.000002
726	0.000000	0.006834	0.000002
727	0.000000	0.006810	0.000002
728	0.000000	0.006524	0.000002
729	0.000000	0.006476	0.000002
730	0.000000	0.007024	0.000002
731	0.000000	0.006763	0.000002
732	0.000000	0.006570	0.000002
733	0.000000	0.006706	0.000002
734	0.000000	0.006849	0.000002
735	0.000000	0.007827	0.000003
736	0.000000	0.010929	0.000002
737	0.000000	0.006783	0.000002
738	0.000000	0.007010	0.000002
739	0.000000	0.006791	0.000002
740	0.000000	0.006833	0.000002
741	0.000000	0.007305	0.000002
742	0.000000	0.007036	0.000002
743	0.000000	0.006531	0.000002
744	0.000000	0.006523	0.000002
745	0.000000	0.006678	0.000002
746	0.000000	0.006529	0.000003
747	0.000000	0.006645	0.000002
748	0.000000	0.006561	0.000001
749	0.000000	0.006696	0.000002
750	0.000000	0.006850	0.000002
751	0.000000	0.007089	0.000002
752	0.000000	0.006799	0.000002
753	0.000000	0.006964	0.000002
754	0.000000	0.006721	0.000001
755	0.000000	0.006926	0.000002
756	0.000000	0.007078	0.000002
757	0.000000	0.006816	0.000002
758	0.000000	0.006915	0.000002
759	0.000000	0.007111	0.000002
760	0.000000	0.007089	0.000001
761	0.000000	0.007200	0.000002
762	0.000000	0.007086	0.000002
763	0.000000	0.007164	0.000002
764	0.000000	0.006960	0.000002
765	0.000000	0.007084	0.000002
766	0.000000	0.007138	0.000002
767	0.000000	0.007029	0.000002
768	0.000000	0.007099	0.000001
